zbez      zaehlbezirksnr
                              
AVIT      Durchschnittliches Einkommen per capita                                
AVIM      Durchschnittliches Einkommen per capita Maenner
AVIW      Durchschnittliches Einkommen per capita Frauen      
Ew2005    EinwohnerInnendichte 2005                                
Ew2010    EinwohnerInnendichte 2010                                     
Ew2015    EinwohnerInnendichte 2015 
Ew2020    EinwohnerInnendichte 2020 
Ew2025    EinwohnerInnendichte 2025 
Ew2030    EinwohnerInnendichte 2030 
Ew2035    EinwohnerInnendichte 2035 
dkm       Todesfaelle pro Quadratkilometer
